# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-133.936, -12.326, 131.580, -98.458, 105.723, -120.792, CRUISE, 416.10, 177.88, 845.04, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.92, -0.20, Curve u=0.375 +Circle
-134.331, -12.669, 131.272, -98.687, 105.402, -120.778, CRUISE, 414.86, 172.28, 844.37, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.36, -0.89, Curve u=0.382 +Circle
-134.751, -13.081, 131.027, -98.964, 105.041, -120.896, CRUISE, 414.08, 166.95, 845.34, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -3.00, +0.04, Curve u=0.390 +Circle
-135.483, -13.095, 131.082, -99.386, 104.444, -120.868, CRUISE, 418.47, 163.46, 846.26, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.05, +0.90, Curve u=0.397 +Circle
-136.244, -12.996, 131.103, -99.786, 103.849, -120.682, CRUISE, 422.92, 159.76, 845.47, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +3.00, +0.05, Curve u=0.404 +Circle
-136.682, -13.315, 130.802, -100.033, 103.497, -120.639, CRUISE, 421.76, 154.15, 844.61, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.21, -0.90, Curve u=0.412 +Circle
-137.084, -13.792, 130.513, -100.298, 103.143, -120.769, CRUISE, 420.08, 148.49, 845.55, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.99, -0.06, Curve u=0.419 +Circle
-137.855, -13.848, 130.546, -100.741, 102.510, -120.742, CRUISE, 424.15, 144.41, 846.62, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.15, +0.90, Curve u=0.426 +Circle
-138.666, -13.766, 130.556, -101.171, 101.877, -120.541, CRUISE, 428.47, 140.21, 845.86, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +3.00, +0.02, Curve u=0.434 +Circle
-139.101, -14.132, 130.232, -101.419, 101.522, -120.512, CRUISE, 426.68, 134.45, 845.08, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.08, -0.90, Curve u=0.441 +Circle
